Metodo,Caudal,Electricidad,Uso de red,Uso del edificio,Calidad microbiologica,Calidad quimica,Turbiedad
Cloracion - Gas de cloro licuado,1000000,1,2,2,5,2,1
Cloracion - Solucion de hipoclorito de sodio,1000000,2,2,2,5,2,1
Cloracion - Granulos de hipoclorito de calcio,1000000,0,2,2,5,2,1
Ozonizacion,1000000,1,1,1,4,2,1
Desinfeccion por ebullicion,80,2,0,0,2,1,1
Filtros rapidos por gravedad,360,0,2,2,1,1,5
Filtros gruesos,1440,0,2,2,1,1,4
Filtros a presion,360,1,2,1,1,1,5
Filtros lentos de arena,14.4,0,2,2,4,2,3
Filtros rapidos de arena,144000,1,2,2,1,1,5
Tanque de almacenamiento,80,1,2,1,2,1,2
Filtracion de ribera,,1,2,1,4,1,3
Aireacion,360,0,2,1,1,2,1
Coagulacion quimica,1000000,0,2,1,2,2,2
Adsorcion con carbon activado - Grifo,360,0,1,0,1,4,4
Adsorcion con carbon activado - Jarra,80,0,0,0,1,4,4
Filtros ceramicos - Olla,36,0,0,0,3,1,3
Filtros ceramicos - Vela,14.4,0,0,0,3,1,3
Filtros de cal o descalcificadores,360,1,1,0,1,1,2
Filtracion por destilacion,80,2,0,0,4,4,4
Filtros de membranas,180,1,2,1,2,2,1
Filtracion por osmosis inversa,360,1,2,1,5,2,4
Tratamiento con rayos UV,32400,1,1,1,4,1,1
Metodo SODIS,80,0,0,0,3,1,1
Filtros de sedimentos,28800,0,2,0,3,1,4
Filtracion con fibras y telas,720000,0,2,0,1,1,4
Almacenamiento y decantacion,80,0,0,0,3,1,3
